file;caption;description
sehnsucht.jpg;Sehnsucht;Diese Karte symbolisiert Wünsche und Träume, die sehr schwer in Erfüllung gehen. Sie gibt den Hinweis, dass für die Wunscherfüllung viel Geduld erforderlich ist. In der Nähe einer Personenkarte sagt sie aus, dass die Person äußerst anspruchsvoll ist.
tod.jpg;Tod;Die Karte zeigt, dass eine Situation oder eine Lebensphase ein Ende nimmt. Auch symbolisiert sie schlimme Ereignisse, die einen Schreck auslösen können.
traurigkeit.jpg;Traurigkeit;Leichten Kummer, Trauer und Unzufriedenheit.
treue.jpg;Treue;Diese Karte symbolisiert Dauerhaftigkeit und besagt, dass der Alltag in gewohnter Weise verläuft und keine Veränderungen zu erwarten sind. Auch zeigt sie Deine Mitmenschen an, auf die Du Dich verlassen kannst. In der Nähe einer Personenkarte sagt sie aus, dass die Person zu Dir hält.
unglück.jpg;Unglück;Möglichen Gefahren im Alltag. Oft ist aus den Nachbarkarten ersichtlich, in welchem Lebensbereich sich dieses Unglück abspielen wird.
unverhoffte freude.jpg;Unverhoffte Freude;Diese Karte symbolisiert angenehme Überraschungen und einen positiven Ausgang.
verdruss.jpg;Verdruss;Diese Karte zeigt Auseinandersetzungen an. Sie symbolisiert auch Gereiztheit, Nervosität und Stress, was sich durch Ärger in den einzelnen Lebensbereichen bemerkbar macht. In der Nähe einer Personenkarte sagt sie aus, dass die Person schnell reizbar und streitsüchtig ist.
verlust.jpg;Verlust;Diese Karte zeigt Verluste an. Allerdings muss es sich hierbei nicht immer um materielle oder finanzielle Verluste handeln, sondern kann auch den Verlust der Partnerschaft, der Freunde oder auch der Lebensfreude symbolisieren. In der Nähe einer Personenkarte sagt sie aus, dass die Person sehr leichtsinnig ist.
witwe.jpg;Witwe;Ruhe und Einsamkeit. Meistens zeigt sie jedoch als Personenkarte eine ältere Frau. Es kann sich um die Mutter, Großmutter, Tante, ältere Schwester oder ältere Freundin handeln.
witwer.jpg;Witwer;Ruhe und Einsamkeit. Meistens zeigt sie jedoch als Personenkarte einen älteren Mann. Es kann sich um den Vater, Großvater, Onkel, älteren Bruder, oder älteren Freund handeln.
